date,time,min price,num tickets left
10/5/21,17:43,215,154
10/5/21,18:08,215,154
10/5/21,18:38,223,153
10/5/21,19:08,223,159
10/5/21,19:39,223,170
10/5/21,20:09,223,183
10/5/21,20:39,223,183
10/5/21,20:45,223,184
10/5/21,21:09,223,184
10/5/21,21:15,224,183
10/5/21,21:39,224,182
10/5/21,21:45,224,182
10/6/21,7:55,225,131
10/6/21,8:27,225,131
10/6/21,8:57,225,131
10/6/21,9:27,225,131
10/6/21,9:57,225,131
10/6/21,10:28,225,131
10/6/21,10:58,225,131
10/6/21,11:27,225,131
10/6/21,11:27,225,131
10/6/21,11:58,225,129
10/6/21,12:10,225,131
10/6/21,12:40,225,131
10/6/21,13:10,225,131
10/6/21,13:40,225,131
10/6/21,14:10,225,131
10/6/21,14:40,225,131
10/6/21,15:11,225,131
10/6/21,15:41,225,131
10/6/21,16:11,225,131
10/6/21,16:41,225,131
10/6/21,17:11,225,131
10/6/21,17:41,237,117
10/6/21,18:11,199,118
10/6/21,18:41,199,118
10/6/21,19:12,199,111
10/6/21,22:14,232.05,103
10/6/21,22:44,235,97
10/6/21,23:14,240,91
10/6/21,23:44,240,87
10/7/21,0:14,240,87
10/7/21,0:45,240,87
10/7/21,1:15,240,87
10/7/21,1:45,240,87
10/7/21,2:15,240,87
10/7/21,2:45,240,87
10/7/21,3:15,240,85
10/7/21,3:45,240,85
10/7/21,4:15,240,85
10/7/21,4:45,240,85
10/7/21,5:16,240,85
10/7/21,5:46,240,85
10/7/21,6:16,240,85
10/7/21,6:46,240,85
10/7/21,7:16,240,85
10/7/21,7:46,249,84
10/7/21,8:16,266,80
10/7/21,8:46,267,79
10/7/21,9:16,261,97
10/7/21,9:47,258,91
10/7/21,10:17,251,90
10/7/21,10:47,233.16,89
10/7/21,11:17,195,91
10/7/21,11:47,235,96
10/7/21,12:17,240,104
10/7/21,12:31,239,105
10/7/21,12:46,240,114
10/7/21,13:01,215,112
10/7/21,13:16,215,112
10/7/21,13:31,215,114
10/7/21,13:46,215,119
10/7/21,14:01,215,124
10/7/21,14:16,215,126
10/7/21,14:31,219,125
10/7/21,14:46,223,125
10/7/21,15:01,223,122
10/7/21,15:16,234,125
10/7/21,15:31,229.84,121
10/7/21,15:46,228.74,121
10/7/21,16:01,229,119
10/7/21,16:16,227,119
10/7/21,16:31,227,113
10/7/21,16:46,227,108
10/7/21,17:01,227,110
10/7/21,17:16,226,109
10/7/21,17:31,226,107
10/7/21,17:46,226,111
10/7/21,18:01,225,109
10/7/21,18:16,225,111
10/7/21,18:31,225,107
10/7/21,18:47,225,105
10/7/21,19:02,224,106
10/7/21,19:17,222.5,102
10/7/21,19:32,223,100
10/7/21,19:47,225,98
10/7/21,20:02,234,94
10/7/21,20:17,239,94
10/7/21,20:32,239,93
10/7/21,20:47,239,93
10/7/21,21:02,239,91
10/7/21,21:17,240,90
10/7/21,21:32,240,90
10/7/21,21:47,239,87
10/7/21,22:02,239,87
10/7/21,22:17,239,86
10/7/21,22:32,244,87
10/7/21,22:47,244,87
10/7/21,23:02,244,87
10/7/21,23:17,245,83
10/7/21,23:32,245,82
10/7/21,23:47,245,81
10/8/21,0:02,245,80
10/8/21,0:17,244,80
10/8/21,0:32,244,80
10/8/21,0:47,244,80
10/8/21,1:02,244,80
10/8/21,1:17,245,83
10/8/21,1:32,245,83
10/8/21,1:47,245,82
10/8/21,2:02,245,82
10/8/21,2:17,245,82
10/8/21,2:33,245,82
10/8/21,2:48,245,82
10/8/21,3:03,245,82
10/8/21,3:18,245,82
10/8/21,3:33,245,82
10/8/21,3:48,245,82
10/8/21,4:03,245,82
10/8/21,4:18,245,82
10/8/21,4:33,245,82
10/8/21,4:48,245,82
10/8/21,5:03,245,82
10/8/21,5:18,245,82
10/8/21,5:33,245,82
10/8/21,5:48,245,82
10/8/21,6:03,245,82
10/8/21,6:18,245,82
10/8/21,6:33,245,82
10/8/21,6:48,245,82
10/8/21,7:03,245,82
10/8/21,7:18,245,82
