date,time,min price,num tickets left
10/5/21,20:45,91.91,341
10/5/21,21:15,92.92,339
10/5/21,21:45,92.92,337
10/6/21,7:55,90.9,295
10/6/21,8:27,90.9,295
10/6/21,8:57,90.9,295
10/6/21,9:27,90.9,295
10/6/21,9:57,90.9,295
10/6/21,10:28,90.9,293
10/6/21,10:58,90.9,293
10/6/21,11:27,90.9,293
10/6/21,11:58,90.9,293
10/6/21,12:10,90.9,293
10/6/21,12:40,90.9,293
10/6/21,13:10,90.9,293
10/6/21,13:40,90.9,293
10/6/21,14:10,90.9,293
10/6/21,14:40,90.9,293
10/6/21,15:11,90.9,291
10/6/21,15:41,90.9,293
10/6/21,16:11,90.9,293
10/6/21,16:41,90.9,293
10/6/21,17:11,90,301
10/6/21,17:41,85,135
10/6/21,18:11,98.98,133
10/6/21,18:41,98.98,132
10/6/21,19:12,98.98,135
10/6/21,22:14,94,132
10/6/21,22:44,94,132
10/6/21,23:14,94,128
10/6/21,23:44,94,128
10/7/21,0:14,94,128
10/7/21,0:45,94,128
10/7/21,1:15,94,128
10/7/21,1:45,94,128
10/7/21,2:15,94,127
10/7/21,2:45,94,127
10/7/21,3:15,94,127
10/7/21,3:45,94,127
10/7/21,4:15,94,127
10/7/21,4:45,94,127
10/7/21,5:16,94,127
10/7/21,5:46,94,127
10/7/21,6:16,94,127
10/7/21,6:46,94,125
10/7/21,7:16,94,125
10/7/21,7:46,94,125
10/7/21,8:16,99,123
10/7/21,8:46,99,123
10/7/21,9:16,99,123
10/7/21,9:47,98.66,124
10/7/21,10:17,98.65,120
10/7/21,10:47,98.65,120
10/7/21,11:17,98.65,108
10/7/21,11:47,98.66,107
10/7/21,12:17,98.66,105
10/7/21,12:31,98.66,105
10/7/21,13:01,98.66,105
10/7/21,13:31,109.78,100
10/7/21,14:01,109.78,120
10/7/21,14:31,108,121
10/7/21,15:01,108,121
10/7/21,15:31,105,120
10/7/21,16:01,105,118
10/7/21,16:31,102,115
10/7/21,17:01,102,114
10/7/21,17:31,95,116
10/7/21,18:01,94,118
10/7/21,18:31,94,117
10/7/21,19:01,94,117
10/7/21,19:31,95,113
10/7/21,20:01,100,113
10/7/21,20:31,100,113
10/7/21,21:01,99,112
10/7/21,21:31,99,111
10/7/21,22:01,99,111
10/7/21,22:31,100,107
10/7/21,23:01,100,107
10/7/21,23:32,100,107
10/8/21,0:02,100,107
10/8/21,0:32,100,107
10/8/21,1:02,100,107
10/8/21,1:32,100,107
10/8/21,2:02,100,107
10/8/21,2:32,100,107
10/8/21,3:02,100,107
10/8/21,3:32,100,107
10/8/21,4:02,100,107
10/8/21,4:32,100,107
10/8/21,5:02,100,107
10/8/21,5:32,100,107
10/8/21,6:02,100,107
10/8/21,6:32,100,107
10/8/21,7:02,100,107
10/8/21,7:32,100,107
10/8/21,8:02,100,107
10/8/21,8:32,100,107
10/8/21,9:02,100,107
10/8/21,9:32,100,107
10/8/21,9:45,100,107
10/8/21,10:15,100,105
10/8/21,10:45,100,106
10/8/21,11:15,100,107
10/8/21,11:45,99.99,107
10/8/21,12:15,99.99,106
10/8/21,12:45,99.99,105
10/8/21,13:15,94.5,102
10/8/21,13:45,94.5,101
10/8/21,14:15,89,113
10/8/21,14:45,88,117
10/8/21,15:15,88,117
10/8/21,15:45,88,115
10/8/21,16:15,88,110
10/8/21,16:45,88,109
10/8/21,17:15,90,107
10/8/21,17:45,90,107
10/8/21,18:15,90,105
10/8/21,18:45,90,107
10/8/21,19:15,99,105
10/8/21,19:45,99,104
10/8/21,20:16,99,102
10/8/21,20:46,99,102
10/8/21,21:16,98.77,102
10/8/21,21:46,98.77,97
10/8/21,22:16,98.77,97
10/8/21,22:46,98.77,97
10/8/21,23:16,98.77,97
10/8/21,23:46,97,97
10/9/21,0:16,97,97
10/9/21,0:46,97,95
10/9/21,1:16,97,95
10/9/21,1:47,97,95
10/9/21,2:17,98.99,94
10/9/21,2:47,97,93
10/9/21,3:17,97,93
10/9/21,3:47,97,93
10/9/21,4:17,97,91
10/9/21,4:47,97,91
10/9/21,5:17,97,91
10/9/21,5:47,97,91
10/9/21,6:17,97,91
10/9/21,6:47,97,91
10/9/21,7:17,102,90
10/9/21,7:43,102,90
10/9/21,8:13,102,90
10/9/21,8:43,102,90
10/9/21,9:13,102,90
10/9/21,9:43,102,90
10/9/21,10:13,102,90
