date,time,min price,num tickets left
10/5/21,20:45,155,170
10/5/21,21:15,155,170
10/5/21,21:45,155,170
10/6/21,7:55,150,113
10/6/21,8:27,150,113
10/6/21,8:57,150,113
10/6/21,9:27,150,113
10/6/21,9:57,150,113
10/6/21,10:28,150,113
10/6/21,10:58,150,113
10/6/21,11:27,150,113
10/6/21,11:58,150,113
10/6/21,12:10,150,113
10/6/21,12:40,150,113
10/6/21,13:10,150,113
10/6/21,13:40,150,113
10/6/21,14:10,150,113
10/6/21,14:40,150,113
10/6/21,15:11,150,113
10/6/21,15:41,150,111
10/6/21,16:11,150,111
10/6/21,16:41,150,111
10/6/21,17:11,150,111
10/6/21,17:41,135,86
10/6/21,18:11,128,86
10/6/21,18:41,128,85
10/6/21,19:12,144,79
10/6/21,22:14,155,92
10/6/21,22:44,140,86
10/6/21,23:14,155,82
10/6/21,23:44,150,83
10/7/21,0:14,150,83
10/7/21,0:45,150,83
10/7/21,1:15,150,83
10/7/21,1:45,150,83
10/7/21,2:15,150,83
10/7/21,2:45,150,83
10/7/21,3:15,150,83
10/7/21,3:45,150,83
10/7/21,4:15,150,83
10/7/21,4:45,150,83
10/7/21,5:16,150,83
10/7/21,5:46,150,83
10/7/21,6:16,150,83
10/7/21,6:46,150,83
10/7/21,7:16,150,83
10/7/21,7:46,150,83
10/7/21,8:16,150,83
10/7/21,8:46,150,82
10/7/21,9:16,149,90
10/7/21,9:47,145.8,91
10/7/21,10:17,149,90
10/7/21,10:47,149,90
10/7/21,11:17,149,90
10/7/21,11:47,149,90
10/7/21,12:17,140,90
10/7/21,12:31,139,89
10/7/21,13:01,139,87
10/7/21,13:31,139,84
10/7/21,14:01,138,93
10/7/21,14:31,133.66,97
10/7/21,15:01,133.66,96
10/7/21,15:31,133.66,95
10/7/21,16:01,132,94
10/7/21,16:31,130,102
10/7/21,17:01,124.2,99
10/7/21,17:31,124.2,98
10/7/21,18:01,127,90
10/7/21,18:31,124,82
10/7/21,19:01,124,80
10/7/21,19:31,124,78
10/7/21,20:01,124,69
10/7/21,20:31,124,65
10/7/21,21:01,129,58
10/7/21,21:31,134.44,59
10/7/21,22:01,145,56
10/7/21,22:31,145,45
10/7/21,23:01,149,80
10/7/21,23:31,149,80
10/8/21,0:02,149,80
10/8/21,0:32,149,80
10/8/21,1:02,149,80
10/8/21,1:32,145,89
10/8/21,2:02,145,88
10/8/21,2:32,145,88
10/8/21,3:02,145,88
10/8/21,3:32,145,88
10/8/21,4:02,145,88
10/8/21,4:32,145,88
10/8/21,5:02,145,87
10/8/21,5:32,145,87
10/8/21,6:02,145,87
10/8/21,6:32,140,87
10/8/21,7:02,140,87
10/8/21,7:32,140,87
10/8/21,8:02,139,87
10/8/21,8:32,139,83
10/8/21,9:02,139,83
10/8/21,9:32,139,77
10/8/21,9:45,139,75
10/8/21,10:15,139,76
10/8/21,10:45,139,73
10/8/21,11:15,139,88
10/8/21,11:45,139,80
10/8/21,12:15,135,73
10/8/21,12:45,135,62
10/8/21,13:15,134,68
10/8/21,13:45,128,68
10/8/21,14:15,120,61
10/8/21,14:45,135,42
10/8/21,15:15,135,71
10/8/21,15:45,140,62
10/8/21,16:15,135,61
10/8/21,16:45,140,48
10/8/21,17:15,135.2,39
10/8/21,17:45,124.8,38
10/8/21,18:15,119.6,32
10/8/21,18:45,114.4,31
